topic,aspect,difference,delta,mean,mean_others,diff_mean,med,med_others,diff_med,website,post_type
Game mechanics,has_code,greater,negligible,,,,,,,unity,questions
Runtime,n_responses,less,negligible,,,,,,,unity,questions
Runtime,len_text,less,negligible,,,,,,,unity,questions
Runtime,is_answered,less,negligible,,,,,,,unity,questions
Runtime,is_resolved,less,negligible,,,,,,,unity,questions
Runtime,has_code,less,negligible,,,,,,,unity,questions
Meshes,n_responses,less,negligible,,,,,,,unity,questions
Meshes,len_text,greater,negligible,,,,,,,unity,questions
Meshes,is_answered,less,negligible,,,,,,,unity,questions
Meshes,is_resolved,less,negligible,,,,,,,unity,questions
Meshes,has_code,less,negligible,,,,,,,unity,questions
General errors,n_responses,greater,negligible,,,,,,,unity,questions
General errors,len_text,less,negligible,,,,,,,unity,questions
General errors,is_answered,greater,negligible,,,,,,,unity,questions
General errors,is_resolved,greater,negligible,,,,,,,unity,questions
General errors,has_code,greater,small,0.6264333845608228,0.39302459775359305,-0.2334087868072297,1.0,0.0,-1.0,unity,questions
Event handling,n_responses,greater,negligible,,,,,,,unity,questions
Event handling,len_text,less,negligible,,,,,,,unity,questions
Event handling,is_answered,greater,negligible,,,,,,,unity,questions
Event handling,is_resolved,greater,negligible,,,,,,,unity,questions
Event handling,has_code,greater,negligible,,,,,,,unity,questions
General programming,n_responses,less,negligible,,,,,,,unity,questions
General programming,len_text,,,,,,,,,unity,questions
General programming,is_answered,,,,,,,,,unity,questions
General programming,is_resolved,less,negligible,,,,,,,unity,questions
General programming,has_code,greater,medium,0.8418302723242559,0.3907289893205386,-0.45110128300371727,1.0,0.0,-1.0,unity,questions
Game loop,n_responses,greater,negligible,,,,,,,unity,questions
Game loop,len_text,less,negligible,,,,,,,unity,questions
Game loop,is_answered,greater,negligible,,,,,,,unity,questions
Game loop,is_resolved,greater,negligible,,,,,,,unity,questions
Game loop,has_code,greater,small,0.559486067078258,0.39296823349626625,-0.16651783358199174,1.0,0.0,-1.0,unity,questions
Positioning,n_responses,greater,negligible,,,,,,,unity,questions
Positioning,len_text,greater,negligible,,,,,,,unity,questions
Positioning,is_answered,greater,negligible,,,,,,,unity,questions
Positioning,is_resolved,greater,negligible,,,,,,,unity,questions
Positioning,has_code,greater,small,0.5915368467572644,0.3935022029392236,-0.19803464381804076,1.0,0.0,-1.0,unity,questions
Camera and display,n_responses,less,negligible,,,,,,,unity,questions
Camera and display,len_text,,,,,,,,,unity,questions
Camera and display,is_answered,less,negligible,,,,,,,unity,questions
Camera and display,is_resolved,less,negligible,,,,,,,unity,questions
Camera and display,has_code,less,negligible,,,,,,,unity,questions
Materials,n_responses,less,negligible,,,,,,,unity,questions
Materials,len_text,greater,negligible,,,,,,,unity,questions
Materials,is_answered,less,negligible,,,,,,,unity,questions
Materials,is_resolved,,,,,,,,,unity,questions
Materials,has_code,less,negligible,,,,,,,unity,questions
Rendering,n_responses,less,negligible,,,,,,,unity,questions
Rendering,len_text,less,negligible,,,,,,,unity,questions
Rendering,is_answered,less,negligible,,,,,,,unity,questions
Rendering,is_resolved,,,,,,,,,unity,questions
Rendering,has_code,less,negligible,,,,,,,unity,questions
External tools,n_responses,less,negligible,,,,,,,unity,questions
External tools,len_text,,,,,,,,,unity,questions
External tools,is_answered,less,negligible,,,,,,,unity,questions
External tools,is_resolved,less,negligible,,,,,,,unity,questions
External tools,has_code,less,negligible,,,,,,,unity,questions
Lighting,n_responses,less,negligible,,,,,,,unity,questions
Lighting,len_text,,,,,,,,,unity,questions
Lighting,is_answered,less,negligible,,,,,,,unity,questions
Lighting,is_resolved,less,negligible,,,,,,,unity,questions
Lighting,has_code,less,negligible,,,,,,,unity,questions
Networking,n_responses,less,negligible,,,,,,,unity,questions
Networking,len_text,greater,negligible,,,,,,,unity,questions
Networking,is_answered,less,negligible,,,,,,,unity,questions
Networking,is_resolved,less,negligible,,,,,,,unity,questions
Networking,has_code,,,,,,,,,unity,questions
3D modeling,n_responses,less,negligible,,,,,,,unity,questions
3D modeling,len_text,less,negligible,,,,,,,unity,questions
3D modeling,is_answered,less,negligible,,,,,,,unity,questions
3D modeling,is_resolved,less,negligible,,,,,,,unity,questions
3D modeling,has_code,less,negligible,,,,,,,unity,questions
Object Oriented Programming,n_responses,greater,negligible,,,,,,,unity,questions
Object Oriented Programming,len_text,greater,negligible,,,,,,,unity,questions
Object Oriented Programming,is_answered,greater,negligible,,,,,,,unity,questions
Object Oriented Programming,is_resolved,greater,negligible,,,,,,,unity,questions
Object Oriented Programming,has_code,greater,small,0.6299658369936555,0.3918027879582211,-0.2381630490354344,1.0,0.0,-1.0,unity,questions
Geometry,n_responses,greater,negligible,,,,,,,unity,questions
Geometry,len_text,,,,,,,,,unity,questions
Geometry,is_answered,greater,negligible,,,,,,,unity,questions
Geometry,is_resolved,greater,negligible,,,,,,,unity,questions
Geometry,has_code,greater,negligible,,,,,,,unity,questions
Programming errors,n_responses,greater,negligible,,,,,,,unity,questions
Programming errors,len_text,greater,negligible,,,,,,,unity,questions
Programming errors,is_answered,greater,negligible,,,,,,,unity,questions
Programming errors,is_resolved,greater,negligible,,,,,,,unity,questions
Programming errors,has_code,greater,negligible,,,,,,,unity,questions
Game engines,is_accepted,less,negligible,,,,,,,unity,answers
Game engines,len_text,greater,negligible,,,,,,,unity,answers
Game engines,has_code,less,negligible,,,,,,,unity,answers
Meshes,is_accepted,,,,,,,,,unity,answers
Meshes,len_text,greater,negligible,,,,,,,unity,answers
Meshes,has_code,less,negligible,,,,,,,unity,answers
Game objects,is_accepted,greater,negligible,,,,,,,unity,answers
Game objects,len_text,greater,small,391.9713837560733,328.3244438070534,-63.646939949019895,290.0,221.0,-69.0,unity,answers
Game objects,has_code,greater,small,0.494318833926317,0.34103606524667035,-0.15328276867964663,0.0,0.0,0.0,unity,answers
Lighting,is_accepted,,,,,,,,,unity,answers
Lighting,len_text,greater,negligible,,,,,,,unity,answers
Lighting,has_code,less,negligible,,,,,,,unity,answers
Materials,is_accepted,greater,negligible,,,,,,,unity,answers
Materials,len_text,greater,small,403.5106529209622,330.9911495488646,-72.51950337209757,286.0,225.0,-61.0,unity,answers
Materials,has_code,less,negligible,,,,,,,unity,answers
Movement,is_accepted,greater,negligible,,,,,,,unity,answers
Movement,len_text,greater,small,437.56199127049666,327.75358932159776,-109.8084019488989,317.0,223.0,-94.0,unity,answers
Movement,has_code,greater,small,0.49498643387991037,0.3452689452834935,-0.14971748859641687,0.0,0.0,0.0,unity,answers
Runtime,is_accepted,less,negligible,,,,,,,unity,answers
Runtime,len_text,greater,negligible,,,,,,,unity,answers
Runtime,has_code,less,negligible,,,,,,,unity,answers
Game loop,is_accepted,greater,negligible,,,,,,,unity,answers
Game loop,len_text,greater,negligible,,,,,,,unity,answers
Game loop,has_code,greater,negligible,,,,,,,unity,answers
Object Oriented Programming,is_accepted,greater,negligible,,,,,,,unity,answers
Object Oriented Programming,len_text,greater,small,437.66156690253075,328.1689381770752,-109.49262872545557,291.0,224.0,-67.0,unity,answers
Object Oriented Programming,has_code,greater,small,0.5611015490533563,0.34271023296820086,-0.21839131608515544,1.0,0.0,-1.0,unity,answers
GUI,is_accepted,,,,,,,,,unity,answers
GUI,len_text,greater,negligible,,,,,,,unity,answers
GUI,has_code,greater,negligible,,,,,,,unity,answers
Collisions,is_accepted,,,,,,,,,unity,answers
Collisions,len_text,greater,small,418.7493303831373,328.66021770184733,-90.08911268128998,310.0,222.0,-88.0,unity,answers
Collisions,has_code,less,negligible,,,,,,,unity,answers
Bug reports,is_accepted,less,negligible,,,,,,,unity,answers
Bug reports,len_text,less,negligible,,,,,,,unity,answers
Bug reports,has_code,,,,,,,,,unity,answers
Event handling,is_accepted,greater,negligible,,,,,,,unity,answers
Event handling,len_text,greater,negligible,,,,,,,unity,answers
Event handling,has_code,greater,negligible,,,,,,,unity,answers
Camera and display,is_accepted,,,,,,,,,unity,answers
Camera and display,len_text,greater,negligible,,,,,,,unity,answers
Camera and display,has_code,less,negligible,,,,,,,unity,answers
General errors,is_accepted,,,,,,,,,unity,answers
General errors,len_text,greater,negligible,,,,,,,unity,answers
General errors,has_code,greater,negligible,,,,,,,unity,answers
General programming,is_accepted,,,,,,,,,unity,answers
General programming,len_text,,,,,,,,,unity,answers
General programming,has_code,greater,small,0.621676891615542,0.3495170258237385,-0.27215986579180346,1.0,0.0,-1.0,unity,answers
FX,is_accepted,,,,,,,,,unity,answers
FX,len_text,greater,negligible,,,,,,,unity,answers
FX,has_code,,,,,,,,,unity,answers
Positioning,is_accepted,greater,negligible,,,,,,,unity,answers
Positioning,len_text,greater,small,396.1271450858034,330.9525992014385,-65.17454588436493,282.0,225.0,-57.0,unity,answers
Positioning,has_code,greater,negligible,,,,,,,unity,answers
Networking,is_accepted,less,negligible,,,,,,,unity,answers
Networking,len_text,greater,small,416.93129984608925,331.3572984364698,-85.57400140961943,288.0,226.0,-62.0,unity,answers
Networking,has_code,less,negligible,,,,,,,unity,answers
Character animation,is_accepted,less,negligible,,,,,,,unity,answers
Character animation,len_text,greater,negligible,,,,,,,unity,answers
Character animation,has_code,less,negligible,,,,,,,unity,answers
File management,is_accepted,,,,,,,,,unity,answers
File management,len_text,,,,,,,,,unity,answers
File management,has_code,less,negligible,,,,,,,unity,answers
Geometry,is_accepted,greater,negligible,,,,,,,unity,answers
Geometry,len_text,greater,small,426.5952861952862,332.3131591266599,-94.28212706862627,292.0,226.0,-66.0,unity,answers
Geometry,has_code,greater,negligible,,,,,,,unity,answers
3D modeling,is_accepted,less,negligible,,,,,,,unity,answers
3D modeling,len_text,greater,negligible,,,,,,,unity,answers
3D modeling,has_code,less,negligible,,,,,,,unity,answers
Rendering,is_accepted,less,negligible,,,,,,,unity,answers
Rendering,len_text,less,negligible,,,,,,,unity,answers
Rendering,has_code,less,negligible,,,,,,,unity,answers
Game mechanics,is_accepted,greater,negligible,,,,,,,unity,answers
Game mechanics,len_text,greater,small,413.8128078817734,330.63802007499896,-83.17478780677442,291.0,225.0,-66.0,unity,answers
Game mechanics,has_code,greater,negligible,,,,,,,unity,answers
External tools,is_accepted,less,negligible,,,,,,,unity,answers
External tools,len_text,less,negligible,,,,,,,unity,answers
External tools,has_code,less,negligible,,,,,,,unity,answers
Programming errors,is_accepted,,,,,,,,,unity,answers
Programming errors,len_text,less,negligible,,,,,,,unity,answers
Programming errors,has_code,greater,negligible,,,,,,,unity,answers
Bug reports,len_text,less,negligible,,,,,,,unity,comments
Bug reports,has_code,less,negligible,,,,,,,unity,comments
Event handling,len_text,greater,negligible,,,,,,,unity,comments
Event handling,has_code,greater,negligible,,,,,,,unity,comments
Meshes,len_text,greater,small,264.0881740225764,198.96165735091486,-65.12651667166156,190.0,136.0,-54.0,unity,comments
Meshes,has_code,less,negligible,,,,,,,unity,comments
Game loop,len_text,greater,negligible,,,,,,,unity,comments
Game loop,has_code,greater,negligible,,,,,,,unity,comments
Game engines,len_text,greater,negligible,,,,,,,unity,comments
Game engines,has_code,less,negligible,,,,,,,unity,comments
3D modeling,len_text,greater,small,242.1540502793296,200.57207539419514,-41.58197488513446,177.0,138.0,-39.0,unity,comments
3D modeling,has_code,less,negligible,,,,,,,unity,comments
Networking,len_text,greater,small,258.6875600384246,199.90017101526587,-58.78738902315871,181.0,137.0,-44.0,unity,comments
Networking,has_code,,,,,,,,,unity,comments
Game mechanics,len_text,greater,negligible,,,,,,,unity,comments
Game mechanics,has_code,greater,negligible,,,,,,,unity,comments
Movement,len_text,greater,small,289.41581259150803,197.5545776731481,-91.86123491835994,219.0,135.0,-84.0,unity,comments
Movement,has_code,greater,negligible,,,,,,,unity,comments
Collisions,len_text,greater,small,281.1633793133084,198.05414377161497,-83.10923554169341,213.0,135.0,-78.0,unity,comments
Collisions,has_code,less,negligible,,,,,,,unity,comments
Character animation,len_text,greater,small,251.56990451103061,199.82102392240463,-51.74888058862598,187.0,137.0,-50.0,unity,comments
Character animation,has_code,less,negligible,,,,,,,unity,comments
Materials,len_text,greater,small,253.29173407287576,199.96501230214122,-53.32672177073454,191.0,137.0,-54.0,unity,comments
Materials,has_code,less,negligible,,,,,,,unity,comments
Game objects,len_text,greater,small,266.5819744949133,197.31061829333933,-69.27135620157398,203.0,134.0,-69.0,unity,comments
Game objects,has_code,greater,negligible,,,,,,,unity,comments
Programming errors,len_text,less,negligible,,,,,,,unity,comments
Programming errors,has_code,,,,,,,,,unity,comments
Positioning,len_text,greater,small,271.45014925373135,199.3578727982772,-72.09227645545414,203.0,137.0,-66.0,unity,comments
Positioning,has_code,greater,negligible,,,,,,,unity,comments
Camera and display,len_text,greater,small,244.832806606178,200.35892652639703,-44.47388007978097,179.0,137.0,-42.0,unity,comments
Camera and display,has_code,less,negligible,,,,,,,unity,comments
GUI,len_text,greater,small,230.1858483388283,200.11804071113565,-30.067807627692645,170.0,137.0,-33.0,unity,comments
GUI,has_code,greater,negligible,,,,,,,unity,comments
General errors,len_text,greater,negligible,,,,,,,unity,comments
General errors,has_code,greater,negligible,,,,,,,unity,comments
Object Oriented Programming,len_text,greater,small,257.20461095100865,198.6867515072046,-58.51785944380404,177.0,136.0,-41.0,unity,comments
Object Oriented Programming,has_code,greater,negligible,,,,,,,unity,comments
FX,len_text,greater,negligible,,,,,,,unity,comments
FX,has_code,,,,,,,,,unity,comments
Rendering,len_text,less,negligible,,,,,,,unity,comments
Rendering,has_code,less,negligible,,,,,,,unity,comments
Lighting,len_text,greater,small,254.4522198991514,200.35333496433864,-54.09888493481276,190.0,137.0,-53.0,unity,comments
Lighting,has_code,less,negligible,,,,,,,unity,comments
Runtime,len_text,greater,negligible,,,,,,,unity,comments
Runtime,has_code,less,negligible,,,,,,,unity,comments
General programming,len_text,greater,small,247.25936123348018,200.63938399848544,-46.619977234994735,183.0,138.0,-45.0,unity,comments
General programming,has_code,greater,small,0.3344346549192364,0.09744822427818142,-0.23698643064105498,0.0,0.0,0.0,unity,comments
External tools,len_text,,,,,,,,,unity,comments
External tools,has_code,less,negligible,,,,,,,unity,comments
File management,len_text,greater,negligible,,,,,,,unity,comments
File management,has_code,,,,,,,,,unity,comments
Geometry,len_text,greater,negligible,,,,,,,unity,comments
Geometry,has_code,,,,,,,,,unity,comments
Event handling,n_responses,greater,negligible,,,,,,,ue4,questions
Event handling,len_text,,,,,,,,,ue4,questions
Event handling,is_answered,greater,negligible,,,,,,,ue4,questions
Event handling,is_resolved,,,,,,,,,ue4,questions
Event handling,has_code,,,,,,,,,ue4,questions
Lighting,n_responses,,,,,,,,,ue4,questions
Lighting,len_text,,,,,,,,,ue4,questions
Lighting,is_answered,,,,,,,,,ue4,questions
Lighting,is_resolved,,,,,,,,,ue4,questions
Lighting,has_code,less,negligible,,,,,,,ue4,questions
Networking,n_responses,less,negligible,,,,,,,ue4,questions
Networking,len_text,greater,negligible,,,,,,,ue4,questions
Networking,is_answered,less,negligible,,,,,,,ue4,questions
Networking,is_resolved,less,negligible,,,,,,,ue4,questions
Networking,has_code,,,,,,,,,ue4,questions
Collisions,n_responses,,,,,,,,,ue4,questions
Collisions,len_text,greater,negligible,,,,,,,ue4,questions
Collisions,is_answered,less,negligible,,,,,,,ue4,questions
Collisions,is_resolved,less,negligible,,,,,,,ue4,questions
Collisions,has_code,less,negligible,,,,,,,ue4,questions
Game engines,n_responses,greater,negligible,,,,,,,ue4,questions
Game engines,len_text,greater,negligible,,,,,,,ue4,questions
Game engines,is_answered,greater,negligible,,,,,,,ue4,questions
Game engines,is_resolved,greater,negligible,,,,,,,ue4,questions
Game engines,has_code,greater,negligible,,,,,,,ue4,questions
Movement,n_responses,,,,,,,,,ue4,questions
Movement,len_text,greater,negligible,,,,,,,ue4,questions
Movement,is_answered,,,,,,,,,ue4,questions
Movement,is_resolved,less,negligible,,,,,,,ue4,questions
Movement,has_code,less,negligible,,,,,,,ue4,questions
Bug reports,n_responses,,,,,,,,,ue4,questions
Bug reports,len_text,less,negligible,,,,,,,ue4,questions
Bug reports,is_answered,,,,,,,,,ue4,questions
Bug reports,is_resolved,greater,negligible,,,,,,,ue4,questions
Bug reports,has_code,less,negligible,,,,,,,ue4,questions
Game mechanics,n_responses,,,,,,,,,ue4,questions
Game mechanics,len_text,,,,,,,,,ue4,questions
Game mechanics,is_answered,,,,,,,,,ue4,questions
Game mechanics,is_resolved,less,negligible,,,,,,,ue4,questions
Game mechanics,has_code,less,negligible,,,,,,,ue4,questions
Character animation,n_responses,less,negligible,,,,,,,ue4,questions
Character animation,len_text,greater,negligible,,,,,,,ue4,questions
Character animation,is_answered,less,negligible,,,,,,,ue4,questions
Character animation,is_resolved,less,negligible,,,,,,,ue4,questions
Character animation,has_code,less,negligible,,,,,,,ue4,questions
External tools,n_responses,,,,,,,,,ue4,questions
External tools,len_text,less,negligible,,,,,,,ue4,questions
External tools,is_answered,,,,,,,,,ue4,questions
External tools,is_resolved,less,negligible,,,,,,,ue4,questions
External tools,has_code,,,,,,,,,ue4,questions
Materials,n_responses,less,negligible,,,,,,,ue4,questions
Materials,len_text,,,,,,,,,ue4,questions
Materials,is_answered,less,negligible,,,,,,,ue4,questions
Materials,is_resolved,less,negligible,,,,,,,ue4,questions
Materials,has_code,less,negligible,,,,,,,ue4,questions
File management,n_responses,less,negligible,,,,,,,ue4,questions
File management,len_text,less,negligible,,,,,,,ue4,questions
File management,is_answered,,,,,,,,,ue4,questions
File management,is_resolved,,,,,,,,,ue4,questions
File management,has_code,greater,negligible,,,,,,,ue4,questions
Camera and display,n_responses,less,negligible,,,,,,,ue4,questions
Camera and display,len_text,less,negligible,,,,,,,ue4,questions
Camera and display,is_answered,less,negligible,,,,,,,ue4,questions
Camera and display,is_resolved,less,negligible,,,,,,,ue4,questions
Camera and display,has_code,less,negligible,,,,,,,ue4,questions
Meshes,n_responses,less,negligible,,,,,,,ue4,questions
Meshes,len_text,less,negligible,,,,,,,ue4,questions
Meshes,is_answered,less,negligible,,,,,,,ue4,questions
Meshes,is_resolved,less,negligible,,,,,,,ue4,questions
Meshes,has_code,less,negligible,,,,,,,ue4,questions
Runtime,n_responses,less,negligible,,,,,,,ue4,questions
Runtime,len_text,less,negligible,,,,,,,ue4,questions
Runtime,is_answered,less,negligible,,,,,,,ue4,questions
Runtime,is_resolved,,,,,,,,,ue4,questions
Runtime,has_code,less,negligible,,,,,,,ue4,questions
GUI,n_responses,,,,,,,,,ue4,questions
GUI,len_text,,,,,,,,,ue4,questions
GUI,is_answered,,,,,,,,,ue4,questions
GUI,is_resolved,less,negligible,,,,,,,ue4,questions
GUI,has_code,less,negligible,,,,,,,ue4,questions
FX,n_responses,,,,,,,,,ue4,questions
FX,len_text,,,,,,,,,ue4,questions
FX,is_answered,,,,,,,,,ue4,questions
FX,is_resolved,,,,,,,,,ue4,questions
FX,has_code,less,negligible,,,,,,,ue4,questions
Game loop,n_responses,greater,negligible,,,,,,,ue4,questions
Game loop,len_text,less,negligible,,,,,,,ue4,questions
Game loop,is_answered,greater,negligible,,,,,,,ue4,questions
Game loop,is_resolved,,,,,,,,,ue4,questions
Game loop,has_code,less,negligible,,,,,,,ue4,questions
Object Oriented Programming,n_responses,greater,negligible,,,,,,,ue4,questions
Object Oriented Programming,len_text,greater,negligible,,,,,,,ue4,questions
Object Oriented Programming,is_answered,greater,negligible,,,,,,,ue4,questions
Object Oriented Programming,is_resolved,greater,negligible,,,,,,,ue4,questions
Object Oriented Programming,has_code,greater,small,0.3300999412110523,0.09989907531163907,-0.23020086589941324,0.0,0.0,0.0,ue4,questions
3D modeling,n_responses,less,negligible,,,,,,,ue4,questions
3D modeling,len_text,,,,,,,,,ue4,questions
3D modeling,is_answered,less,negligible,,,,,,,ue4,questions
3D modeling,is_resolved,less,negligible,,,,,,,ue4,questions
3D modeling,has_code,less,negligible,,,,,,,ue4,questions
Game objects,n_responses,greater,negligible,,,,,,,ue4,questions
Game objects,len_text,greater,negligible,,,,,,,ue4,questions
Game objects,is_answered,greater,negligible,,,,,,,ue4,questions
Game objects,is_resolved,,,,,,,,,ue4,questions
Game objects,has_code,greater,negligible,,,,,,,ue4,questions
General errors,n_responses,greater,negligible,,,,,,,ue4,questions
General errors,len_text,less,negligible,,,,,,,ue4,questions
General errors,is_answered,greater,negligible,,,,,,,ue4,questions
General errors,is_resolved,greater,negligible,,,,,,,ue4,questions
General errors,has_code,greater,small,0.38615847542627885,0.10369392575807779,-0.28246454966820106,0.0,0.0,0.0,ue4,questions
General programming,n_responses,,,,,,,,,ue4,questions
General programming,len_text,,,,,,,,,ue4,questions
General programming,is_answered,,,,,,,,,ue4,questions
General programming,is_resolved,,,,,,,,,ue4,questions
General programming,has_code,greater,negligible,,,,,,,ue4,questions
Geometry,n_responses,,,,,,,,,ue4,questions
Geometry,len_text,,,,,,,,,ue4,questions
Geometry,is_answered,,,,,,,,,ue4,questions
Geometry,is_resolved,less,negligible,,,,,,,ue4,questions
Geometry,has_code,less,negligible,,,,,,,ue4,questions
Positioning,n_responses,greater,negligible,,,,,,,ue4,questions
Positioning,len_text,,,,,,,,,ue4,questions
Positioning,is_answered,greater,negligible,,,,,,,ue4,questions
Positioning,is_resolved,,,,,,,,,ue4,questions
Positioning,has_code,,,,,,,,,ue4,questions
Rendering,n_responses,less,negligible,,,,,,,ue4,questions
Rendering,len_text,less,negligible,,,,,,,ue4,questions
Rendering,is_answered,,,,,,,,,ue4,questions
Rendering,is_resolved,less,negligible,,,,,,,ue4,questions
Rendering,has_code,less,negligible,,,,,,,ue4,questions
Programming errors,n_responses,,,,,,,,,ue4,questions
Programming errors,len_text,,,,,,,,,ue4,questions
Programming errors,is_answered,,,,,,,,,ue4,questions
Programming errors,is_resolved,,,,,,,,,ue4,questions
Programming errors,has_code,,,,,,,,,ue4,questions
Meshes,is_accepted,less,negligible,,,,,,,ue4,answers
Meshes,len_text,,,,,,,,,ue4,answers
Meshes,has_code,less,negligible,,,,,,,ue4,answers
Rendering,is_accepted,less,negligible,,,,,,,ue4,answers
Rendering,len_text,less,negligible,,,,,,,ue4,answers
Rendering,has_code,less,negligible,,,,,,,ue4,answers
Bug reports,is_accepted,greater,negligible,,,,,,,ue4,answers
Bug reports,len_text,less,negligible,,,,,,,ue4,answers
Bug reports,has_code,less,negligible,,,,,,,ue4,answers
Game objects,is_accepted,less,negligible,,,,,,,ue4,answers
Game objects,len_text,greater,small,413.18303312027894,374.636554506112,-38.546478614166915,305.0,253.0,-52.0,ue4,answers
Game objects,has_code,greater,negligible,,,,,,,ue4,answers
Materials,is_accepted,less,negligible,,,,,,,ue4,answers
Materials,len_text,greater,small,424.1535036325287,374.15291432368247,-50.00058930884626,314.0,253.0,-61.0,ue4,answers
Materials,has_code,less,negligible,,,,,,,ue4,answers
Game engines,is_accepted,greater,negligible,,,,,,,ue4,answers
Game engines,len_text,greater,negligible,,,,,,,ue4,answers
Game engines,has_code,greater,negligible,,,,,,,ue4,answers
Game loop,is_accepted,less,negligible,,,,,,,ue4,answers
Game loop,len_text,less,negligible,,,,,,,ue4,answers
Game loop,has_code,,,,,,,,,ue4,answers
File management,is_accepted,,,,,,,,,ue4,answers
File management,len_text,greater,negligible,,,,,,,ue4,answers
File management,has_code,greater,small,0.22649223221586262,0.07643447734587468,-0.15005775486998796,0.0,0.0,0.0,ue4,answers
Lighting,is_accepted,,,,,,,,,ue4,answers
Lighting,len_text,greater,small,496.22832794593006,372.9163005030415,-123.31202744288856,353.0,253.0,-100.0,ue4,answers
Lighting,has_code,less,negligible,,,,,,,ue4,answers
Object Oriented Programming,is_accepted,less,negligible,,,,,,,ue4,answers
Object Oriented Programming,len_text,greater,small,438.4883287985107,372.67692365447425,-65.81140514403643,308.0,252.0,-56.0,ue4,answers
Object Oriented Programming,has_code,greater,small,0.26865244164399255,0.07033273685132582,-0.19831970479266672,0.0,0.0,0.0,ue4,answers
GUI,is_accepted,less,negligible,,,,,,,ue4,answers
GUI,len_text,greater,negligible,,,,,,,ue4,answers
GUI,has_code,less,negligible,,,,,,,ue4,answers
Runtime,is_accepted,,,,,,,,,ue4,answers
Runtime,len_text,greater,negligible,,,,,,,ue4,answers
Runtime,has_code,less,negligible,,,,,,,ue4,answers
Game mechanics,is_accepted,less,negligible,,,,,,,ue4,answers
Game mechanics,len_text,greater,negligible,,,,,,,ue4,answers
Game mechanics,has_code,less,negligible,,,,,,,ue4,answers
Event handling,is_accepted,less,negligible,,,,,,,ue4,answers
Event handling,len_text,greater,negligible,,,,,,,ue4,answers
Event handling,has_code,,,,,,,,,ue4,answers
Movement,is_accepted,less,negligible,,,,,,,ue4,answers
Movement,len_text,greater,small,434.1646385110952,373.9182747297347,-60.24636378136046,319.0,253.0,-66.0,ue4,answers
Movement,has_code,,,,,,,,,ue4,answers
Camera and display,is_accepted,less,negligible,,,,,,,ue4,answers
Camera and display,len_text,greater,negligible,,,,,,,ue4,answers
Camera and display,has_code,,,,,,,,,ue4,answers
